State,Year,GDP 
NV,2020,6.7
NV,2021,8.9
NH,1999,3.0
NH,2000,7.0
NH,2001,1.5
NH,2002,3.2
NH,2003,4.1
NH,2004,4.1
NH,2005,1.0
NH,2006,2.5
NH,2007,0.3
NH,2008,1.5
NH,2009,1.3
NH,2010,3.2
NH,2011,0.6
NH,2012,1.4
NH,2013,0.8
NH,2014,1.6
NH,2015,2.6
NH,2016,2.1
NH,2017,0.5
NH,2018,2.0
NH,2019,1.8
NH,2020,1.2
NH,2021,9.3
NJ,1999,3.3
NJ,2000,5.3
NJ,2001,1.1
NJ,2002,1.7
NJ,2003,2.1
NJ,2004,0.7
NJ,2005,1.9
NJ,2006,1.7
NJ,2007,0.8
NJ,2008,2.6
NJ,2009,5.2
NJ,2010,1.4
NJ,2011,1.2
NJ,2012,1.9
NJ,2013,1.3
NJ,2014,0.3
NJ,2015,1.5
NJ,2016,1.0
NJ,2017,0.5
NJ,2018,2.3
NJ,2019,1.7
NJ,2020,4.3
NJ,2021,5.9
NM,1999,5.3
NM,2000,1.7
NM,2001,0.1
NM,2002,3.0
NM,2003,3.9
NM,2004,8.2
NM,2005,1.2
NM,2006,2.4
NM,2007,0.8
NM,2008,0.3
NM,2009,1.3
NM,2010,0.5
NM,2011,0.0
NM,2012,0.4
NM,2013,1.2
NM,2014,2.5
NM,2015,0.8
NM,2016,0.6
NM,2017,0.2
NM,2018,2.2
NM,2019,4.4
NM,2020,2.5
NM,2021,1.2
NY,1999,5.4
NY,2000,3.9
NY,2001,1.9
NY,2002,0.6
NY,2003,0.4
NY,2004,3.0
NY,2005,2.2
NY,2006,2.6
NY,2007,0.8
NY,2008,1.5
NY,2009,3.4
NY,2010,3.8
NY,2011,0.2
NY,2012,3.8
NY,2013,0.1
NY,2014,1.8
NY,2015,1.5
NY,2016,2.2
NY,2017,1.1
NY,2018,2.8
NY,2019,2.9
NY,2020,4.6
NY,2021,5.7
NC,1999,5.7
NC,2000,3.3
NC,2001,0.8
NC,2002,1.5
NC,2003,2.5
NC,2004,4.1
NC,2005,5.1
NC,2006,6.2
NC,2007,1.1
NC,2008,2.6
NC,2009,4.1
NC,2010,1.4
NC,2011,1.2
NC,2012,0.4
NC,2013,1.6
NC,2014,2.3
NC,2015,2.8
NC,2016,1.7
NC,2017,2.5
NC,2018,1.3
NC,2019,2.2
NC,2020,1.2
NC,2021,7.0
ND,1999,0.4
ND,2000,3.9
ND,2001,0.8
ND,2002,5.5
ND,2003,6.0
ND,2004,1.5
ND,2005,3.8
ND,2006,4.2
ND,2007,4.7
ND,2008,7.0
ND,2009,2.9
ND,2010,7.6
ND,2011,11.7
ND,2012,22.4
ND,2013,2.0
ND,2014,9.3
ND,2015,2.2
ND,2016,6.3
ND,2017,2.3
ND,2018,3.2
ND,2019,0.8
ND,2020,4.8
ND,2021,0.3
OH,1999,2.4
OH,2000,2.1
OH,2001,1.4
OH,2002,2.0
OH,2003,1.3
OH,2004,2.7
OH,2005,2.2
OH,2006,0.1
OH,2007,0.2
OH,2008,1.8
OH,2009,4.8
OH,2010,2.5
OH,2011,3.3
OH,2012,0.8
OH,2013,1.9
OH,2014,3.2
OH,2015,0.8
OH,2016,0.9
OH,2017,1.7
OH,2018,0.7
OH,2019,2.6
OH,2020,3.1
OH,2021,5.9
OK,1999,1.8
OK,2000,3.8
OK,2001,3.8
OK,2002,1.9
OK,2003,1.6
OK,2004,3.5
OK,2005,3.9
OK,2006,6.5
OK,2007,2.2
OK,2008,3.9
OK,2009,1.4
OK,2010,0.3
OK,2011,3.6
OK,2012,5.1
OK,2013,1.6
OK,2014,6.6
OK,2015,4.1
OK,2016,2.1
OK,2017,0.5
OK,2018,1.8
OK,2019,1.9
OK,2020,4.3
OK,2021,0.4
OR,1999,2.2
OR,2000,8.4
OR,2001,0.9
OR,2002,2.0
OR,2003,4.2
OR,2004,5.0
OR,2005,4.1
OR,2006,5.0
OR,2007,1.7
OR,2008,2.7
OR,2009,4.6
OR,2010,2.2
OR,2011,2.7
OR,2012,0.4
OR,2013,0.8
OR,2014,3.0
OR,2015,4.8
OR,2016,4.3
OR,2017,3.8
OR,2018,4.6
OR,2019,2.2
OR,2020,1.8
OR,2021,5.7
PA,1999,3.0
PA,2000,2.6
PA,2001,1.6
PA,2002,1.4
PA,2003,2.4
PA,2004,2.8
PA,2005,1.8
PA,2006,0.4
PA,2007,3.4
PA,2008,2.0
PA,2009,3.1
PA,2010,2.9
PA,2011,1.5
PA,2012,1.7
PA,2013,1.2
PA,2014,2.1
PA,2015,1.9
PA,2016,0.9
PA,2017,0.9
PA,2018,1.3
PA,2019,1.6
PA,2020,4.8
PA,2021,4.4
RI,1999,2.9
RI,2000,4.7
RI,2001,1.3
RI,2002,3.2
RI,2003,2.9
